Field,StrategyOrDate,MOMENTUM_WINDOW,Value
AggReturn,2018-02-07 00:00:00,63,0.0236932202020071
AggReturn,2018-02-08 00:00:00,252,-0.0060013629499215
AggReturn,2018-02-08 00:00:00,126,-0.0045812853891181
AggReturn,2018-02-08 00:00:00,63,-0.0060013629499215
AggReturn,2018-02-09 00:00:00,252,-0.0074062727589087
AggReturn,2018-02-09 00:00:00,126,-0.0110594438628759
AggReturn,2018-02-09 00:00:00,63,-0.0074062727589087
AggReturn,2018-02-12 00:00:00,252,-0.0015710734830413
AggReturn,2018-02-12 00:00:00,126,0.0016143485898885
AggReturn,2018-02-12 00:00:00,63,-0.0015710734830413
AggReturn,2018-02-13 00:00:00,252,0.0035596842039573
AggReturn,2018-02-13 00:00:00,126,0.0002980912394573
AggReturn,2018-02-13 00:00:00,63,0.0035596842039573
AggReturn,2018-02-14 00:00:00,252,0.0017780517032592
AggReturn,2018-02-14 00:00:00,126,0.0006431505214938
AggReturn,2018-02-14 00:00:00,63,0.0017780517032592
AggReturn,2018-02-15 00:00:00,252,0.0155423104559126
AggReturn,2018-02-15 00:00:00,126,0.0137314553690292
AggReturn,2018-02-15 00:00:00,63,0.0155423104559126
AggReturn,2018-02-16 00:00:00,252,-0.0042082553183212
AggReturn,2018-02-16 00:00:00,126,-0.0044650633501481
AggReturn,2018-02-16 00:00:00,63,-0.0042082553183212
AggReturn,2018-02-20 00:00:00,252,-0.0018430343911944
AggReturn,2018-02-20 00:00:00,126,-0.0033008761615937
AggReturn,2018-02-20 00:00:00,63,-0.0018430343911944
AggReturn,2018-02-21 00:00:00,252,0.0083014300896272
AggReturn,2018-02-21 00:00:00,126,0.0102880140093069
AggReturn,2018-02-21 00:00:00,63,0.0083014300896272
AggReturn,2018-02-22 00:00:00,252,-0.0029784378297629
AggReturn,2018-02-22 00:00:00,126,-0.0036522706386136
AggReturn,2018-02-22 00:00:00,63,-0.0029784378297629
AggReturn,2018-02-23 00:00:00,252,0.0024596558856272
AggReturn,2018-02-23 00:00:00,126,0.001912995708482
AggReturn,2018-02-23 00:00:00,63,0.0024596558856272
AggReturn,2018-02-26 00:00:00,252,-0.0055013637303787
AggReturn,2018-02-26 00:00:00,126,-0.005108312253666
AggReturn,2018-02-26 00:00:00,63,-0.0055013637303787
AggReturn,2018-02-27 00:00:00,252,-0.0055739664962994
AggReturn,2018-02-27 00:00:00,126,-0.0058073741680422
AggReturn,2018-02-27 00:00:00,63,-0.0055739664962994
AggReturn,2018-02-28 00:00:00,252,-0.0034791537319024
AggReturn,2018-02-28 00:00:00,126,-0.0051946197650376
AggReturn,2018-02-28 00:00:00,63,-0.0034791537319024
AggReturn,2018-03-01 00:00:00,252,0.005774676899899
AggReturn,2018-03-01 00:00:00,126,0.0049442962390151
AggReturn,2018-03-01 00:00:00,63,0.0057386061192704
AggReturn,2018-03-02 00:00:00,252,-0.0081626557067226
AggReturn,2018-03-02 00:00:00,126,-0.0042163741560917
AggReturn,2018-03-02 00:00:00,63,-0.0042163741560917
AggReturn,2018-03-05 00:00:00,252,0.0005936211502527
AggReturn,2018-03-05 00:00:00,126,-0.0009747705345451
AggReturn,2018-03-05 00:00:00,63,-0.0009747705345451
AggReturn,2018-03-06 00:00:00,252,0.0062593891433926
AggReturn,2018-03-06 00:00:00,126,0.0068816914496524
AggReturn,2018-03-06 00:00:00,63,0.0068816914496524
AggReturn,2018-03-07 00:00:00,252,0.0037638735109496
AggReturn,2018-03-07 00:00:00,126,0.002915555432392
AggReturn,2018-03-07 00:00:00,63,0.002915555432392
AggReturn,2018-03-08 00:00:00,252,0.0057661212708389
AggReturn,2018-03-08 00:00:00,126,0.0041409921351726
AggReturn,2018-03-08 00:00:00,63,0.0041409921351726
AggReturn,2018-03-09 00:00:00,252,-0.0030440136422626
AggReturn,2018-03-09 00:00:00,126,-0.0046838916774623
AggReturn,2018-03-09 00:00:00,63,-0.0046838916774623
AggReturn,2018-03-12 00:00:00,252,0.0033017343417861
AggReturn,2018-03-12 00:00:00,126,0.0012311836262181
AggReturn,2018-03-12 00:00:00,63,0.0012311836262181
AggReturn,2018-03-13 00:00:00,252,-0.001716456580761
AggReturn,2018-03-13 00:00:00,126,-0.0028185797796426
AggReturn,2018-03-13 00:00:00,63,-0.0028185797796426
AggReturn,2018-03-14 00:00:00,252,-0.0018019307205738
AggReturn,2018-03-14 00:00:00,126,-0.001256735934127
AggReturn,2018-03-14 00:00:00,63,-0.001256735934127
AggReturn,2018-03-15 00:00:00,252,-0.0084918476419047
AggReturn,2018-03-15 00:00:00,126,-0.0074572732436055
AggReturn,2018-03-15 00:00:00,63,-0.0074572732436055
AggReturn,2018-03-16 00:00:00,252,0.0108530670913485
AggReturn,2018-03-16 00:00:00,126,0.0107353011735695
AggReturn,2018-03-16 00:00:00,63,0.0107353011735695
AggReturn,2018-03-19 00:00:00,252,-0.0022740640711482
AggReturn,2018-03-19 00:00:00,126,0.0004013850850924
AggReturn,2018-03-19 00:00:00,63,0.0004013850850924
AggReturn,2018-03-20 00:00:00,252,-4.4676415982991546e-05
AggReturn,2018-03-20 00:00:00,126,0.0001772339674094
AggReturn,2018-03-20 00:00:00,63,0.0001772339674094
AggReturn,2018-03-21 00:00:00,252,-0.0013272831386271
AggReturn,2018-03-21 00:00:00,126,-0.0011147460194938
AggReturn,2018-03-21 00:00:00,63,-0.0011147460194938
AggReturn,2018-03-22 00:00:00,252,0.0003182438006507
AggReturn,2018-03-22 00:00:00,126,0.0055440211789287
AggReturn,2018-03-22 00:00:00,63,0.0055440211789287
AggReturn,2018-03-23 00:00:00,252,-0.0058451156884571
AggReturn,2018-03-23 00:00:00,126,-0.0056331885387637
AggReturn,2018-03-23 00:00:00,63,-0.0056331885387637
AggReturn,2018-03-26 00:00:00,252,0.0022539839785137
AggReturn,2018-03-26 00:00:00,126,0.0022095683050317
AggReturn,2018-03-26 00:00:00,63,0.0022095683050317
AggReturn,2018-03-27 00:00:00,252,0.0131670523167559
AggReturn,2018-03-27 00:00:00,126,0.0083959194739676
AggReturn,2018-03-27 00:00:00,63,0.0083959194739676
AggReturn,2018-03-28 00:00:00,252,-0.0174075264937093
AggReturn,2018-03-28 00:00:00,126,-0.0118229793961835
AggReturn,2018-03-28 00:00:00,63,-0.0118229793961835
AggReturn,2018-03-29 00:00:00,252,0.0034111111679177
AggReturn,2018-03-29 00:00:00,126,0.0019313811452612
AggReturn,2018-03-29 00:00:00,63,0.0019313811452612
AggReturn,2018-04-02 00:00:00,252,0.000773187496077
AggReturn,2018-04-02 00:00:00,126,0.0028354756951962
AggReturn,2018-04-02 00:00:00,63,0.0028354756951962
AggReturn,2018-04-03 00:00:00,252,-0.0013177443591473
AggReturn,2018-04-03 00:00:00,126,-0.0030233667743788
AggReturn,2018-04-03 00:00:00,63,-0.0030363139505125
AggReturn,2018-04-04 00:00:00,252,-0.0092736881844942
AggReturn,2018-04-04 00:00:00,126,-0.0106562635417235
AggReturn,2018-04-04 00:00:00,63,-0.0091028402663242
AggReturn,2018-04-05 00:00:00,252,0.0185774270835529
AggReturn,2018-04-05 00:00:00,126,0.0061141518015009
AggReturn,2018-04-05 00:00:00,63,-0.0001371797779149
AggReturn,2018-04-06 00:00:00,252,-0.0044820620276789
AggReturn,2018-04-06 00:00:00,126,-0.0042519408228783
AggReturn,2018-04-06 00:00:00,63,-0.0025893743765898
AggReturn,2018-04-09 00:00:00,252,0.0082114593341191
AggReturn,2018-04-09 00:00:00,126,-0.0108661082200058
AggReturn,2018-04-09 00:00:00,63,-0.0077779696500475
AggReturn,2018-04-10 00:00:00,252,-0.0055975388117879
AggReturn,2018-04-10 00:00:00,126,-0.0061899777965675
AggReturn,2018-04-10 00:00:00,63,0.0046636074909412
AggReturn,2018-04-11 00:00:00,252,0.0022097074647865
AggReturn,2018-04-11 00:00:00,126,-0.0106425088838999
AggReturn,2018-04-11 00:00:00,63,-0.0079383434577566
AggReturn,2018-04-12 00:00:00,252,-0.0006493359254425
AggReturn,2018-04-12 00:00:00,126,0.0006349115247012
AggReturn,2018-04-12 00:00:00,63,-0.0011123440498888
AggReturn,2018-04-13 00:00:00,252,0.0065165606843115
AggReturn,2018-04-13 00:00:00,126,0.0003399745670233
AggReturn,2018-04-13 00:00:00,63,-0.0005285117166521
AggReturn,2018-04-16 00:00:00,252,0.0005148581687722
AggReturn,2018-04-16 00:00:00,126,-0.0028863240277824
AggReturn,2018-04-16 00:00:00,63,-0.0026379823687171
AggReturn,2018-04-17 00:00:00,252,0.0003885615311495
AggReturn,2018-04-17 00:00:00,126,0.0032573744583436
AggReturn,2018-04-17 00:00:00,63,0.002192473719033
AggReturn,2018-04-18 00:00:00,252,0.0123757412289353
AggReturn,2018-04-18 00:00:00,126,-0.0040405897129814
AggReturn,2018-04-18 00:00:00,63,-0.0035851391573775
AggReturn,2018-04-19 00:00:00,252,0.0140430543842283
AggReturn,2018-04-19 00:00:00,126,-0.0024793990395498
AggReturn,2018-04-19 00:00:00,63,-0.0075618511530881
AggReturn,2018-04-20 00:00:00,252,-0.0050266942656448
AggReturn,2018-04-20 00:00:00,126,-0.0050980584788071
AggReturn,2018-04-20 00:00:00,63,-0.0034526383037627
AggReturn,2018-04-23 00:00:00,252,-0.0126142179409646
AggReturn,2018-04-23 00:00:00,126,0.0127758435288033
AggReturn,2018-04-23 00:00:00,63,0.0127447315224947
AggReturn,2018-04-24 00:00:00,252,-0.0092662665707245
AggReturn,2018-04-24 00:00:00,126,0.0087822746695499
AggReturn,2018-04-24 00:00:00,63,0.0075397155259187
AggReturn,2018-04-25 00:00:00,252,-0.0061769492997378
AggReturn,2018-04-25 00:00:00,126,-0.0036125372783108
AggReturn,2018-04-25 00:00:00,63,-0.0006860787921903
AggReturn,2018-04-26 00:00:00,252,0.0108470742757995
AggReturn,2018-04-26 00:00:00,126,-0.0117448219055346
AggReturn,2018-04-26 00:00:00,63,-0.0140108817031459
AggReturn,2018-04-27 00:00:00,252,0.0127560547940402
AggReturn,2018-04-27 00:00:00,126,0.0229386046827742
AggReturn,2018-04-27 00:00:00,63,0.0162931771892313
AggReturn,2018-04-30 00:00:00,252,-0.0081196432733393
AggReturn,2018-04-30 00:00:00,126,-0.0025966017059551
AggReturn,2018-04-30 00:00:00,63,-0.003877764806302
AggReturn,2018-05-01 00:00:00,252,-0.0044636312946133
AggReturn,2018-05-01 00:00:00,126,0.0028300250321461
AggReturn,2018-05-01 00:00:00,63,0.0053641841839885
AggReturn,2018-05-02 00:00:00,252,0.0193785096813304
AggReturn,2018-05-02 00:00:00,126,0.0099934447414715
AggReturn,2018-05-02 00:00:00,63,0.0094108127180134
AggReturn,2018-05-03 00:00:00,252,0.0018120768603056
AggReturn,2018-05-03 00:00:00,126,-0.0007244004365605
AggReturn,2018-05-03 00:00:00,63,-0.004823742277959
AggReturn,2018-05-04 00:00:00,252,0.0052403250080877
AggReturn,2018-05-04 00:00:00,126,0.0018307664793411
AggReturn,2018-05-04 00:00:00,63,0.0045338010884483
AggReturn,2018-05-07 00:00:00,252,0.0096029544879405
AggReturn,2018-05-07 00:00:00,126,0.0010523485001006
AggReturn,2018-05-07 00:00:00,63,-0.0015943406506139
AggReturn,2018-05-08 00:00:00,252,0.0012259223911247
AggReturn,2018-05-08 00:00:00,126,0.0024910515320296
AggReturn,2018-05-08 00:00:00,63,0.0040118195802817
AggReturn,2018-05-09 00:00:00,252,-0.0029385096485422
AggReturn,2018-05-09 00:00:00,126,0.0020813491104289
AggReturn,2018-05-09 00:00:00,63,-0.0003460169441827
AggReturn,2018-05-10 00:00:00,252,-0.0021954958769208
AggReturn,2018-05-10 00:00:00,126,0.0002497880998774
AggReturn,2018-05-10 00:00:00,63,-0.0001635470882636
AggReturn,2018-05-11 00:00:00,252,-0.001149309783224
AggReturn,2018-05-11 00:00:00,126,-0.0018420378888154
AggReturn,2018-05-11 00:00:00,63,-0.0024838192277263
AggReturn,2018-05-14 00:00:00,252,-0.0016841717253517
AggReturn,2018-05-14 00:00:00,126,-0.0017695731648199
AggReturn,2018-05-14 00:00:00,63,-0.0064175567331894
AggReturn,2018-05-15 00:00:00,252,-0.0087991732619058
AggReturn,2018-05-15 00:00:00,126,0.0051366422071215
AggReturn,2018-05-15 00:00:00,63,0.0060491574555288
AggReturn,2018-05-16 00:00:00,252,-0.0037983843230179
AggReturn,2018-05-16 00:00:00,126,0.0044401716755488
AggReturn,2018-05-16 00:00:00,63,0.0050813445085751
AggReturn,2018-05-17 00:00:00,252,-0.002843022919514
AggReturn,2018-05-17 00:00:00,126,-0.000588389252974
AggReturn,2018-05-17 00:00:00,63,0.0050537410566878
AggReturn,2018-05-18 00:00:00,252,0.0037871786579308
AggReturn,2018-05-18 00:00:00,126,-0.0012097371460394
AggReturn,2018-05-18 00:00:00,63,-0.0024527326359786
AggReturn,2018-05-21 00:00:00,252,0.0025662328085644
AggReturn,2018-05-21 00:00:00,126,0.0009291994385832
AggReturn,2018-05-21 00:00:00,63,-0.0017516800002147
AggReturn,2018-05-22 00:00:00,252,-0.0007282212666108
AggReturn,2018-05-22 00:00:00,126,0.004489896696452
AggReturn,2018-05-22 00:00:00,63,0.0002841321315415
AggReturn,2018-05-23 00:00:00,252,-0.0034421782838863
AggReturn,2018-05-23 00:00:00,126,0.0028919895147525
AggReturn,2018-05-23 00:00:00,63,0.0064213559894146
AggReturn,2018-05-24 00:00:00,252,0.0025574593099919
AggReturn,2018-05-24 00:00:00,126,0.0062274456744654
AggReturn,2018-05-24 00:00:00,63,0.0068699122430228
AggReturn,2018-05-25 00:00:00,252,0.0043777001577609
AggReturn,2018-05-25 00:00:00,126,0.0035894231154119
AggReturn,2018-05-25 00:00:00,63,0.0028126636608596
AggReturn,2018-05-29 00:00:00,252,-0.003063578913815
AggReturn,2018-05-29 00:00:00,126,0.0054568876441837
AggReturn,2018-05-29 00:00:00,63,0.0076284613503325
AggReturn,2018-05-30 00:00:00,252,-0.0002051315432991
AggReturn,2018-05-30 00:00:00,126,-0.0025219076960672
AggReturn,2018-05-30 00:00:00,63,-0.0024286478599612
AggReturn,2018-05-31 00:00:00,252,0.003317567700981
AggReturn,2018-05-31 00:00:00,126,-0.0075510501464894
AggReturn,2018-05-31 00:00:00,63,-0.0106560994292047
AggReturn,2018-06-01 00:00:00,252,-0.0059808344947365
AggReturn,2018-06-01 00:00:00,126,0.0044891416341022
AggReturn,2018-06-01 00:00:00,63,0.0034775777750847
AggReturn,2018-06-04 00:00:00,252,0.0003638993323015
AggReturn,2018-06-04 00:00:00,126,-0.0026409473490042
AggReturn,2018-06-04 00:00:00,63,-0.008219516746725
AggReturn,2018-06-05 00:00:00,252,0.0075857805291515
AggReturn,2018-06-05 00:00:00,126,0.0043500128644275
AggReturn,2018-06-05 00:00:00,63,-0.0020387688005257
AggReturn,2018-06-06 00:00:00,252,0.0056171900600508
AggReturn,2018-06-06 00:00:00,126,0.0030105400924232
AggReturn,2018-06-06 00:00:00,63,0.0073331128823058
AggReturn,2018-06-07 00:00:00,252,-0.0025307633824505
AggReturn,2018-06-07 00:00:00,126,-0.0036258939553555
